voxel,best_alpha,score
"(11, 28, 34)",0.1,0.8933341813395824
"(11, 28, 35)",0.1,0.8919836429526384
"(11, 29, 33)",0.1,0.8921013533289386
"(11, 29, 34)",0.1,0.8912721601157235
"(11, 29, 35)",0.1,0.8918107920198948
"(11, 29, 36)",0.1,0.8723870142001754
"(11, 30, 33)",0.1,0.8848290438843396
"(11, 30, 34)",0.1,0.8769459602575645
"(11, 30, 35)",0.1,0.8850101306801254
"(11, 31, 33)",0.5,0.8539973400576338
"(11, 31, 34)",0.5,0.8405603614026
"(12, 27, 32)",0.1,0.8449755289059968
"(12, 27, 33)",0.1,0.8485703920461629
"(12, 27, 34)",0.1,0.9273670429818258
"(12, 27, 35)",0.1,0.9300930775235747
"(12, 28, 32)",0.1,0.9288233929403432
"(12, 28, 33)",0.1,0.9301998344081663
"(12, 28, 34)",0.5,0.8927695103541528
"(12, 28, 35)",0.5,0.8909653557519027
"(12, 28, 36)",0.1,0.8915836776278405
"(12, 28, 37)",0.5,0.8941924719108727
"(12, 29, 32)",1.0,0.8803906717610394
"(12, 29, 33)",0.5,0.8811280139789458
"(12, 29, 34)",1.0,0.8780866008965811
"(12, 29, 35)",1.0,0.8754888941667034
"(12, 29, 36)",1.0,0.8945305812003579
"(12, 30, 32)",1.0,0.8915498248554542
"(12, 30, 33)",1.0,0.8920507782064169
"(12, 30, 34)",1.0,0.8970875438608417
"(12, 30, 39)",0.1,0.8901601558700498
"(12, 30, 40)",0.5,0.8913945270690103
"(12, 31, 33)",0.5,0.8925727823439926
"(12, 35, 35)",0.1,0.8901944620308238
"(12, 35, 36)",1.0,0.8596833014341602
"(12, 35, 37)",1.0,0.8512467334226844
"(12, 36, 35)",0.5,0.855651919267815
"(12, 36, 36)",1.0,0.8593225400142088
"(12, 36, 37)",0.1,0.8917872899655379
"(12, 37, 35)",0.5,0.8915645837600656
"(12, 37, 36)",1.0,0.8935526434715484
"(12, 38, 35)",0.5,0.8949407024326262
"(12, 38, 36)",0.1,0.8239317160670596
"(12, 39, 34)",0.1,0.8108225284447661
"(12, 39, 35)",0.1,0.8293716971903955
"(12, 40, 34)",0.5,0.811552456692287
"(12, 40, 35)",0.5,0.838537020366412
"(12, 41, 34)",0.1,0.8421543644926313
"(13, 26, 32)",0.5,0.8399675048748494
"(13, 26, 33)",0.5,0.836033831629139
"(13, 26, 34)",1.0,0.8438457551439799
"(13, 26, 35)",0.5,0.858936183323965
"(13, 26, 36)",0.5,0.8494652185615184
"(13, 27, 31)",0.1,0.8432964516226404
"(13, 27, 32)",1.0,0.7724098063696319
"(13, 27, 33)",1.0,0.7768701013376411
"(13, 27, 34)",1.0,0.768953487863697
"(13, 27, 35)",1.0,0.7730956854058211
"(13, 27, 36)",0.5,0.9135098782238735
"(13, 27, 37)",0.5,0.9140296962724819
"(13, 28, 31)",0.1,0.914274166091811
"(13, 28, 32)",0.5,0.9110415603496443
"(13, 28, 33)",1.0,0.8445319943396002
"(13, 28, 34)",1.0,0.8473113953696716
"(13, 28, 35)",1.0,0.8515800447044217
"(13, 28, 36)",1.0,0.8519062216755525
"(13, 28, 37)",0.1,0.9261837219427189
"(13, 29, 31)",0.1,0.923944751324105
"(13, 29, 32)",0.5,0.9246714796757507
"(13, 29, 33)",0.1,0.9220952654618859
"(13, 29, 34)",0.5,0.9426709149426931
"(13, 29, 35)",0.5,0.9432057179946403
"(13, 30, 31)",0.1,0.9438410272040233
"(13, 30, 32)",0.1,0.9408594605146787
"(13, 30, 33)",0.1,0.9441082553665542
"(13, 30, 34)",0.5,0.9457464988408791
"(13, 31, 32)",0.1,0.9434478312439929
"(13, 31, 33)",0.1,0.9415669600235781
"(13, 34, 35)",0.5,0.906100811945578
"(13, 34, 36)",1.0,0.9050817203116743
"(13, 34, 37)",1.0,0.9070007446885627
"(13, 35, 35)",0.5,0.9057537184356704
"(13, 35, 36)",0.1,0.9185891845367428
"(13, 35, 37)",0.1,0.9203681645112894
"(13, 35, 38)",0.1,0.9217617014984606
"(13, 36, 35)",0.1,0.9193525302194103
"(13, 36, 36)",0.1,0.9259304453571506
"(13, 36, 37)",0.1,0.9212996704799548
"(13, 37, 34)",0.1,0.9228905892788741
"(13, 37, 35)",0.1,0.9208748893465559
"(13, 37, 36)",1.0,0.8972749404833087
"(13, 37, 37)",0.5,0.891625938078413
"(13, 38, 34)",0.5,0.8997635214807662
"(13, 38, 35)",0.5,0.9007747028121585
"(13, 38, 36)",0.1,0.9169019957749797
"(13, 39, 34)",0.1,0.9198615768100081
"(13, 39, 35)",0.1,0.9204953295438536
"(13, 39, 36)",0.1,0.9216096214871359
"(13, 40, 33)",0.1,0.919222413702804
"(13, 40, 34)",0.1,0.912893688612719
"(13, 40, 35)",0.1,0.912089525076567
